,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7623188405797101,0.8439613526570048,0.7396293027360988,0.8096618357487922,0.7730627306273062,0.5270054169246079
Decision Tree,0.8487922705314009,0.8610039907582441,0.7883386581469649,0.9536231884057971,0.8631394840402273,0.7134415216724012
KNN,0.8256038647342995,0.9614665453102755,0.7485250737463127,0.9806763285024155,0.849017147636972,0.6849848179736417
Naive Bayes,0.7478260869565218,0.8233223645826039,0.728,0.7913043478260869,0.7583333333333333,0.4975367897380626
Random Forest,0.8845410628019323,0.9530028705454036,0.8273026315789473,0.9719806763285024,0.8938249666814749,0.7811192575181285
XGBoost,0.8376811594202899,0.9088398795771195,0.7969413763806287,0.9062801932367149,0.8481012658227848,0.6818097617030344
